actual/predicted,battery,biological,brown-glass,cardboard,clothes,green-glass,metal,paper,plastic,shoes,trash,white-glass
battery,58,3,0,1,6,3,0,3,3,4,8,1
biological,0,38,12,7,18,9,1,2,1,1,1,0
brown-glass,4,12,35,7,12,0,6,2,5,6,0,1
cardboard,1,5,1,57,9,1,0,3,4,1,2,6
clothes,3,7,0,3,66,1,0,8,1,1,0,0
green-glass,0,6,0,1,0,77,0,2,3,0,1,0
metal,4,5,3,5,19,3,4,9,20,1,14,3
paper,8,4,0,2,20,1,1,29,16,1,0,8
plastic,4,0,0,3,6,2,2,7,40,0,21,5
shoes,22,7,5,4,30,1,0,7,2,7,5,0
trash,4,0,0,1,6,0,3,0,11,0,65,0
white-glass,2,1,1,4,6,0,1,8,19,1,45,2
