actual/predicted,battery,biological,brown-glass,cardboard,clothes,green-glass,metal,paper,plastic,shoes,trash,white-glass
battery,58,2,1,1,7,3,0,3,3,3,8,1
biological,3,38,11,7,17,7,0,4,0,2,1,0
brown-glass,8,8,38,7,10,0,6,3,2,3,4,1
cardboard,1,5,2,55,9,1,2,2,4,0,2,7
clothes,3,7,0,3,66,1,0,5,1,4,0,0
green-glass,1,7,0,0,1,76,0,1,3,0,1,0
metal,7,5,3,5,19,3,3,8,22,0,14,1
paper,7,3,0,2,25,1,0,27,14,2,0,9
plastic,4,0,0,3,9,2,1,9,38,0,22,2
shoes,26,8,5,5,23,0,1,14,1,3,4,0
trash,4,0,0,1,4,0,3,2,11,1,63,1
white-glass,1,0,1,4,4,0,1,11,18,0,49,1
