actual/predicted,battery,biological,brown-glass,cardboard,clothes,green-glass,metal,paper,plastic,shoes,trash,white-glass
battery,109,1,1,2,0,1,4,1,0,0,1,0
biological,0,110,0,1,1,3,0,1,1,2,1,0
brown-glass,2,2,84,0,0,0,0,0,0,3,0,0
cardboard,1,1,1,110,2,0,0,4,1,0,0,0
clothes,0,0,0,1,113,1,0,1,0,2,1,1
green-glass,0,1,1,1,0,85,1,0,2,0,1,2
metal,5,0,4,0,1,2,97,3,1,0,0,2
paper,3,0,0,6,1,0,2,106,2,0,0,0
plastic,4,2,0,1,1,7,4,2,93,1,3,2
shoes,0,1,0,0,1,0,1,0,0,116,1,0
trash,1,0,0,0,1,1,1,1,3,0,97,0
white-glass,0,0,0,0,0,4,6,2,8,1,2,93
