actual/predicted,battery,biological,brown-glass,cardboard,clothes,green-glass,metal,paper,plastic,shoes,trash,white-glass
battery,132,1,1,2,0,1,4,0,0,1,0,0
biological,0,142,0,1,1,1,0,0,0,1,2,0
brown-glass,1,2,82,0,0,0,4,0,1,0,0,1
cardboard,0,0,1,123,1,0,2,7,0,0,0,0
clothes,0,1,0,3,789,0,0,0,1,5,0,0
green-glass,0,0,1,0,0,88,1,0,2,0,1,1
metal,4,2,2,0,0,2,100,2,2,0,0,1
paper,4,0,0,4,0,0,0,144,4,1,0,1
plastic,1,0,1,1,0,4,6,3,104,0,8,2
shoes,0,4,0,1,4,1,0,0,0,287,0,0
trash,1,0,0,0,0,0,0,0,0,0,104,0
white-glass,2,1,1,0,0,4,10,0,7,0,2,89
